text,label
iced coffee,FoodIconCoffee
sliced turkey deli meat,FoodIconHam
seafood soup,FoodIconSoup
pomelo,FoodIconCitrus
pepsi,FoodIconCupSoda
kamut salad,FoodIconWheat
blended beverages,FoodIconCupSoda
cafe con leche,FoodIconCoffee
al pastor taco filling,FoodIconPork
bresaola pasta,FoodIconPasta
blueberry yogurt,FoodIconMilk
pepperoni,FoodIconHam
roasted drumstick,FoodIconDrumstick
sole fillet,FoodIconFish
chilean sea bass,FoodIconFish
banana split,FoodIconIceCreamBowl
swai fillet,FoodIconFish
leftover pizza,FoodIconMicrowave
yoplait,FoodIconMilk
specials board item,FoodIconChefHat
nori roll,FoodIconSushi
blackened catfish,FoodIconFish
cookie,FoodIconCookie
composed salad plate,FoodIconSalad
ombre cake,FoodIconCake
tootsie roll,FoodIconCandy
slow roasted pork,FoodIconPork
dragon roll,FoodIconSushi
chocolate lava cake,FoodIconCake
thai soup,FoodIconSoup
tacos,FoodIconTaco
nori snack,FoodIconSushi
sushi boat,FoodIconSushi
baked salmon,FoodIconFish
blueprint juice,FoodIconCupSoda
flounder,FoodIconFish
street taco line,FoodIconTaco
swirl lollipop pop,FoodIconLollipop
grain bowl,FoodIconRiceBowl
chicken liver pate,FoodIconHam
pancake station,FoodIconCroissant
rocket pop,FoodIconPopsicle
posole,FoodIconCookingPot
fried fish station,FoodIconFish
captain crunch,FoodIconWheat
crunchy salmon roll,FoodIconSushi
asiago bagel,FoodIconBread
zombie,FoodIconMartini
scotch on the rocks,FoodIconMartini
all bran,FoodIconWheat
beef kabob,FoodIconBeef
tomato mozzarella salad,FoodIconSalad
old fashioned peppermint stick,FoodIconCandyCane
blackened fish,FoodIconFish
trail mix,FoodIconNut
salmon avocado roll,FoodIconSushi
pasta casserole,FoodIconCookingPot
dirty rice,FoodIconRiceBowl
philz coffee,FoodIconCoffee
taquitos,FoodIconTaco
weight watchers,FoodIconMicrowave
cinnamon graham crackers,FoodIconBread
seaweed snack,FoodIconSushi
fresh salad bar,FoodIconSalad
natural casing frank,FoodIconHotDog
pork station,FoodIconPork
sandwich ice cream bar,FoodIconIceCreamSandwich
skinny cow ice cream sandwich,FoodIconIceCreamSandwich
oreo dessert,FoodIconCookie
muscle bar,FoodIconProtein
chili station,FoodIconSoup
chicken kiev,FoodIconChicken
beef carving station,FoodIconBeef
nutrl seltzer,FoodIconGlassWater
seaweed popcorn,FoodIconPopcorn
beef dip station,FoodIconSandwich
jam,FoodIconChefHat
gravity defying cake,FoodIconCake
chicken tostada,FoodIconTaco
sub line,FoodIconSandwich
southern fried catfish,FoodIconFish
barley soup,FoodIconWheat
chicken soup,FoodIconSoup
rxbar,FoodIconProtein
iced tea lemonade,FoodIconCupSoda
hamburger patty,FoodIconBeef
cheerios,FoodIconWheat
fresh fruit bowl,FoodIconApple
korean popcorn flavor,FoodIconPopcorn
protein powder,FoodIconProtein
blackened redfish,FoodIconFish
lightly breaded chicken tenders,FoodIconChicken
jose ole burrito,FoodIconBurrito
sweet bar,FoodIconCake
thin crust pizza,FoodIconPizza
refrigerated food,FoodIconRefrigerator
baked chicken station,FoodIconChicken
mushroom coffee,FoodIconCoffee
smoked beef brisket flat,FoodIconBeef
moka pot coffee,FoodIconCoffee
oat bar,FoodIconWheat
whole beans,FoodIconBean
wheat beer,FoodIconBeer
lardo fatback cured,FoodIconHam
beef wellington slice,FoodIconBeef
grape ice pop,FoodIconPopsicle
cheese cube snack,FoodIconMilk
franks,FoodIconHotDog
salad station,FoodIconSalad
whole foods frozen meal,FoodIconMicrowave
triple scoop cone,FoodIconIceCream
lavash crackers,FoodIconBread
pink grapefruit,FoodIconCitrus
kake soba warm,FoodIconRamen
eggs benedict,FoodIconEgg
jack in the box fry,FoodIconFries
beef taco,FoodIconTaco
winesap,FoodIconApple
chocolate chip cookie,FoodIconCookie
citrus herb turkey,FoodIconDrumstick
halibut station,FoodIconFish
drip coffee maker,FoodIconCoffee
drenched burrito,FoodIconBurrito
porchetta,FoodIconPork
crumb cake,FoodIconCake
overnight oats,FoodIconWheat
daily fresh fruit,FoodIconApple
twister fries,FoodIconFries
chicken soup,FoodIconSoup
frozen treat on a stick,FoodIconPopsicle
beerlao,FoodIconBeer
fresh roll,FoodIconWrap
wahoo steak,FoodIconFish
yogurt covered raisins,FoodIconNut
kool pop,FoodIconPopsicle
meringue cookie,FoodIconCookie
sub line,FoodIconSandwich
bit o honey,FoodIconCandy
honey roasted peanuts,FoodIconNut
kasha side,FoodIconWheat
good planet vegan,FoodIconVegan
polish sausage,FoodIconHotDog
keema naan,FoodIconBread
passion fruit tea,FoodIconCupSoda
rainier cherry,FoodIconCherry
mojito,FoodIconMartini
hemp tofu,FoodIconVegan
milk duds,FoodIconCandy
petrale sole,FoodIconFish
beef entree station,FoodIconBeef
navel orange,FoodIconCitrus
basted egg,FoodIconEggFried
fresh apple,FoodIconApple
snail caviar,FoodIconSnail
sheep milk,FoodIconMilk
chili,FoodIconCookingPot
creme brulee,FoodIconDessert
whiskey on the rocks,FoodIconMartini
vietnamese bo luc lac,FoodIconBeef
chicken stew,FoodIconCookingPot
breakfast egg,FoodIconEgg
caramelized popcorn gourmet,FoodIconPopcorn
beef gyudon bowl steak,FoodIconBeef
tofurky,FoodIconVegan
shredded beef barbacoa,FoodIconBeef
sweet sapphire grape,FoodIconGrape
mocktail,FoodIconCupSoda
kasha varnishkes,FoodIconWheat
som tum,FoodIconSalad
pork katsu,FoodIconPork
shrimp kebab,FoodIconShrimp
fish soup,FoodIconSoup
pasta with meatballs,FoodIconPasta
stainless pan egg,FoodIconEggFried
bigos hunter stew,FoodIconSoup
hot dog line,FoodIconHotDog
flaky pastry,FoodIconCroissant
treats bar,FoodIconCake
grape juice 100%,FoodIconGrape
sparkling ranch water,FoodIconBeer
popcorn indiana,FoodIconPopcorn
texas toast,FoodIconCroissant
mushroom meat,FoodIconVegan
pillsbury crescent,FoodIconCroissant
cheerios,FoodIconWheat
crockpot meal,FoodIconCookingPot
opakapaka,FoodIconFish
dry aged ribeye,FoodIconBeef
bavette steak,FoodIconBeef
organic white popcorn,FoodIconPopcorn
taco tuesday,FoodIconTaco
lemon iced tea,FoodIconCupSoda
veggie snack pack carrot,FoodIconCarrot
gongcha boba,FoodIconCupSoda
hot dog options,FoodIconHotDog
jicama slaw salad,FoodIconSalad
bordeaux bottle,FoodIconBottleWine
frankfurter,FoodIconHotDog
gelato station,FoodIconDessert
french dip,FoodIconSandwich
chomps,FoodIconProtein
smoked drumstick,FoodIconDrumstick
marsala wine,FoodIconWine
fattoush,FoodIconSalad
gin martini,FoodIconMartini
grain bar,FoodIconRiceBowl
reeses pieces,FoodIconCandy
hard cider,FoodIconBeer
dark chocolate almonds,FoodIconNut
levain cone,FoodIconIceCream
green globe grape,FoodIconGrape
totinos,FoodIconPizza
scrambled egg station,FoodIconEgg
glühwein,FoodIconWine
pan seared steak,FoodIconBeef
roll station seafood,FoodIconSandwich
sandwich station,FoodIconSandwich
barbecue chicken leg,FoodIconDrumstick
bone-in pork chop,FoodIconPork
bubly,FoodIconCupSoda
texas chili,FoodIconCookingPot
macadamia,FoodIconNut
sandwich line,FoodIconSandwich
armagnac,FoodIconMartini
carrot ribbons,FoodIconCarrot
iberico ham,FoodIconHam
cinnamon raisin bagel,FoodIconBread
beef teriyaki bowl,FoodIconBeef
tostones fried,FoodIconBanana
meal,FoodIconUtensils
orange segments cup,FoodIconCitrus
rice cake,FoodIconRiceBowl
citrus mix,FoodIconCitrus
carrot and hummus pack,FoodIconCarrot
sandwich,FoodIconSandwich
berry smoothie,FoodIconCupSoda
oreo cookies,FoodIconCookie
phulka thin roti,FoodIconBread
baked goods station,FoodIconCake
beverage bar,FoodIconCupSoda
cajun shrimp,FoodIconShrimp
healthy fruit snack,FoodIconApple
brat,FoodIconHotDog
pizza roll,FoodIconPizza
rock candy stick,FoodIconLollipop
sufganiyot,FoodIconDonut
banana to go,FoodIconBanana
turkey entree with gravy,FoodIconDrumstick
banana foster donut,FoodIconDonut
banana bread,FoodIconBanana
seasonal special,FoodIconChefHat
breaded fish stick,FoodIconFish
kind granola,FoodIconWheat
buffalo chicken,FoodIconChicken
cod,FoodIconFish
raised donut,FoodIconDonut
organic candy cane,FoodIconCandyCane
seedless grape portion,FoodIconGrape
baked apple,FoodIconApple
double decker sandwich,FoodIconSandwich
blow pop,FoodIconCandy
hoagie station,FoodIconSandwich
s'mores popcorn,FoodIconPopcorn
beef shabu shabu,FoodIconBeef
turkey wrap,FoodIconWrap
thai fried rice,FoodIconRiceBowl
taco salad,FoodIconTaco
luau pig,FoodIconPork
refrigerated yogurt cup,FoodIconMilk
turkey stuffed peppers,FoodIconCookingPot
small popcorn,FoodIconPopcorn
salad vegan,FoodIconVegan
dutch bros,FoodIconCoffee
small egg,FoodIconEgg
lunch bar,FoodIconSandwich
lucky charms,FoodIconWheat
sweetfrog cup,FoodIconIceCreamBowl
sauvignon blanc,FoodIconWine
jerk spiced chicken leg,FoodIconDrumstick
bing cherries,FoodIconCherry
hemp seed snack,FoodIconNut
reduced fat yogurt,FoodIconMilk
shake shack shake cup,FoodIconDessert
sticky rice,FoodIconRiceBowl
blanched carrot,FoodIconCarrot
chamoy paleta,FoodIconPopsicle
spanish omelette tortilla,FoodIconEgg
octopus nigiri,FoodIconSushi
biscuit and gravy,FoodIconCroissant
cinnamon roll,FoodIconCroissant
sausage in bun,FoodIconHotDog
siggi's yogurt,FoodIconMilk
wine bottle opener,FoodIconBottleWine
honey sauce,FoodIconChefHat
coconut milk beverage,FoodIconMilk
juice station,FoodIconCupSoda
chocolate cupcake,FoodIconCake
virginia ham,FoodIconHam
shrimp creole,FoodIconShrimp
elderflower cocktail,FoodIconMartini
oat bran,FoodIconWheat
coffee energy drink,FoodIconCoffee
chipotle bbq beef,FoodIconBeef
crystal roll,FoodIconWrap
house smoked,FoodIconChefHat
stracciatella gelato,FoodIconDessert
kimchi soup,FoodIconSoup
frozen tater tot,FoodIconFries
castle beer,FoodIconBeer
swirl ice pop,FoodIconPopsicle
portillo's shake,FoodIconDessert
pork neck roasted,FoodIconPork
spanish peanuts,FoodIconNut
dessert selection,FoodIconCake
potato wedge seasoned,FoodIconFries
single scoop cone,FoodIconIceCream
cracker,FoodIconBread
dessert bar variety,FoodIconCake
chestnut roasted,FoodIconNut
smoked pork,FoodIconPork
grape bunch,FoodIconGrape
mexican popsicle,FoodIconPopsicle
magnum wine bottle,FoodIconBottleWine
skillet cornbread,FoodIconBread
veggie wrap,FoodIconWrap
fresh fruit bar,FoodIconApple
escargot in shell,FoodIconSnail
dried seaweed,FoodIconSushi
soba cold dipping,FoodIconRamen
taco bowl station,FoodIconTaco
nachos station,FoodIconTaco
tecate beer,FoodIconBeer
ice cream sandwich bar,FoodIconIceCreamSandwich
linguine bottarga,FoodIconPasta
chicken mortadella,FoodIconHam
pressed sandwich,FoodIconSandwich
trader joes burrito,FoodIconBurrito
tangelo,FoodIconCitrus
fries,FoodIconFries
whole wheat croissant,FoodIconCroissant
pornstar martini,FoodIconMartini
mcdonalds world famous fry,FoodIconFries
spicy noodles,FoodIconRamen
paloma,FoodIconMartini
fried egg,FoodIconEggFried
asahi beer,FoodIconBeer
fresh salad bar,FoodIconSalad
pumpkin donut,FoodIconDonut
round steak,FoodIconBeef
mashed potato,FoodIconCookingPot
mushroom fried rice,FoodIconRiceBowl
milk,FoodIconMilk
red velvet cake,FoodIconCake
korean wings,FoodIconChicken
veggie burger station,FoodIconBurger
shrimp po boy,FoodIconShrimp
orange,FoodIconCitrus
steak sauce,FoodIconChefHat
grilled salmon,FoodIconFish
taqueria line,FoodIconTaco
waffles,FoodIconCroissant
mini hot dog,FoodIconHotDog
club crackers,FoodIconBread
apple grape salad,FoodIconApple
rajma,FoodIconBean
fuzzy navel,FoodIconMartini
smoothie bowl,FoodIconIceCreamBowl
nuun,FoodIconGlassWater
jerk chicken,FoodIconChicken
chickpea salad,FoodIconBean
chicken street tacos,FoodIconChicken
pan fried trout,FoodIconFish
colby jack stick,FoodIconMilk
salad buffet,FoodIconSalad
crispy waffle,FoodIconCroissant
prime,FoodIconCupSoda
ranch and carrot pack,FoodIconCarrot
sliced turkey,FoodIconDrumstick
flavored water,FoodIconGlassWater
oyakodon egg chicken rice,FoodIconRiceBowl
rose wine,FoodIconWine
professional kitchen meal,FoodIconUtensilsCrossed
cedar plank salmon,FoodIconFish
nitro beer,FoodIconBeer
tiramisu,FoodIconCake
steak salad,FoodIconSalad
tres leches cake,FoodIconCake
soft serve twist vanilla chocolate,FoodIconDessert
moo goo gai pan,FoodIconChicken
chicken tamale,FoodIconTaco
sparkling wine bottle,FoodIconBottleWine
hot dog bar,FoodIconHotDog
bone in leg,FoodIconDrumstick
concord grape fresh,FoodIconGrape
hand tossed pizza station,FoodIconPizza
garlic naan,FoodIconBread
peach rings,FoodIconCandy
rice station,FoodIconRiceBowl
pilsner,FoodIconBeer
purple grapes,FoodIconGrape
garlic cod,FoodIconFish
whole milk yogurt,FoodIconMilk
vodka cranberry,FoodIconMartini
turkey melt,FoodIconSandwich
chicken sandwich fillet,FoodIconChicken
egg muffin cup,FoodIconEgg
chalupa taco bell,FoodIconTaco
watermelon popsicle,FoodIconPopsicle
impossible meat,FoodIconVegan
apple cider donut fall,FoodIconDonut
layer cake,FoodIconCake
hot dog line,FoodIconHotDog
corn dogs,FoodIconHotDog
beer tasting,FoodIconBeer
truffle risotto,FoodIconRiceBowl
radicchio salad,FoodIconSalad
planet smoothie,FoodIconCupSoda
liquid death plain,FoodIconGlassWater
cajun boudin link,FoodIconPork
drizzilicious,FoodIconCookie
orzo,FoodIconPasta
banana muffin,FoodIconBanana
tuna casserole,FoodIconCookingPot
bagel bar,FoodIconBread
pretzel soft large,FoodIconBread
vegan wings,FoodIconVegan
banana pancake,FoodIconBanana
cork wine bottle,FoodIconBottleWine
lime paleta,FoodIconPopsicle
hummus dip,FoodIconChefHat
potato skins,FoodIconFries
iceberg wedge,FoodIconSalad
tlayuda,FoodIconTaco
overrun cone,FoodIconIceCream
matchstick fry,FoodIconFries
pb&j donut,FoodIconDonut
jack in the box taco,FoodIconTaco
cake cone station,FoodIconIceCream
negroni,FoodIconMartini
pine nuts,FoodIconNut
powdered sugar donut,FoodIconDonut
hot fudge sundae whipped cream,FoodIconIceCreamBowl
cortland apple,FoodIconApple
freeze pop,FoodIconPopsicle
corn chowder,FoodIconSoup
turkey bean soup,FoodIconCookingPot
breadstick,FoodIconBread
fresh salad station,FoodIconSalad
tabbouleh grain,FoodIconWheat
cracker basket,FoodIconBread
sushi box,FoodIconSushi
small shrimp,FoodIconShrimp
bell and evans strips,FoodIconChicken
sirloin steak,FoodIconBeef
battenberg cake,FoodIconCake
microwaveable,FoodIconMicrowave
cherry fruit salad,FoodIconCherry
pellet grill chicken,FoodIconChicken
donut,FoodIconDonut
plain lassi,FoodIconMilk
chicago style hot dog,FoodIconHotDog
fig bar cookie,FoodIconCookie
korean fried egg,FoodIconEggFried
birria sandwich,FoodIconSandwich
seafood risotto,FoodIconRiceBowl
italian pasta salad cold,FoodIconPasta
scrambled egg station,FoodIconEgg
pork burrito,FoodIconBurrito
eggs to order,FoodIconEgg
organic grapes,FoodIconGrape
hamachi roll,FoodIconSushi
texas bbq beef,FoodIconBeef
donut of the day,FoodIconDonut
bow tie pasta,FoodIconPasta
ramen,FoodIconRamen
sbarro,FoodIconPizza
cheese crackers,FoodIconBread
cookies and cream dessert,FoodIconCookie
shin ramyeon spicy,FoodIconRamen
quail egg,FoodIconEgg
plain bagel,FoodIconBread
mulled wine,FoodIconWine
kiwi smoothie,FoodIconCupSoda
total cereal,FoodIconWheat
char siu,FoodIconPork
carrot roll sushi,FoodIconSushi
chicken bar,FoodIconChicken
yukhoe dupbap beef tartare rice,FoodIconRiceBowl
baked sunflower,FoodIconNut
chicken curry,FoodIconChicken
fresh lemon,FoodIconCitrus
frozen fruit bar,FoodIconPopsicle
citrus fruit salad,FoodIconCitrus
frank with bun,FoodIconHotDog
fresh market food,FoodIconShoppingBasket
quinoa flakes,FoodIconWheat
pork entree,FoodIconPork
ozarka,FoodIconGlassWater
apple pie slice,FoodIconCakeSlice
fried perch,FoodIconFish
lemonade station,FoodIconCupSoda
long grain rice,FoodIconRiceBowl
classic candy cane,FoodIconCandyCane
spanish fried egg,FoodIconEggFried
meat sauce,FoodIconCookingPot
raw egg,FoodIconEgg
pan fried walleye,FoodIconFish
espresso tonic,FoodIconCoffee
truly hard tea,FoodIconBeer
farmers breakfast casserole,FoodIconEgg
churro bowl ice cream,FoodIconIceCreamBowl
sumac chicken drumstick,FoodIconDrumstick
stuffed beef,FoodIconBeef
tendon shrimp rice,FoodIconRiceBowl
grilled tilapia,FoodIconFish
crimson grapes,FoodIconGrape
fresh sandwich station,FoodIconSandwich
station name,FoodIconChefHat
holiday popcorn tin,FoodIconPopcorn
dolsot bibimbap,FoodIconRiceBowl
corona familiar,FoodIconBeer
chef's selection sushi,FoodIconSushi
watermelon soda,FoodIconCupSoda
sheet cake,FoodIconCake
oatmeal,FoodIconWheat
pumpkin soup,FoodIconSoup
hot pizza line,FoodIconPizza
shiraz bottle,FoodIconBottleWine
grilled chicken station,FoodIconChicken
flavored sparkling water,FoodIconCupSoda
microwave cup,FoodIconMicrowave
custard cone,FoodIconDessert
carrot ranch dip,FoodIconCarrot
gordita crunch,FoodIconTaco
ritz,FoodIconBread
potato wedges,FoodIconFries
beef ribs,FoodIconBeef
miller lite,FoodIconBeer
prosecco,FoodIconWine
glazed turkey leg,FoodIconDrumstick
navel orange slice,FoodIconCitrus
donut pub nyc,FoodIconDonut
fruit danish,FoodIconCroissant
tuna rice bowl,FoodIconRiceBowl
wonton noodle soup cantonese,FoodIconRamen
carnival grape,FoodIconGrape
almond cheese vegan,FoodIconVegan
all beef hot dog,FoodIconHotDog
chicken thigh,FoodIconChicken
angie's boomchick,FoodIconPopcorn
fruit lollipop,FoodIconLollipop
pinot grigio,FoodIconWine
cinnamon morning bun,FoodIconCroissant
spatchcocked turkey,FoodIconDrumstick
mexican cuisine station,FoodIconTaco
baked sushi roll,FoodIconSushi
chicago deep dish,FoodIconPizza
grilled cod,FoodIconFish
zuppa toscana,FoodIconSoup
hot chocolate milk,FoodIconMilk
all butter croissant,FoodIconCroissant
pancake wrapped hot dog,FoodIconHotDog
kroger groceries,FoodIconShoppingBasket
sweet plantain,FoodIconBanana
tuna steak,FoodIconFish
table service,FoodIconUtensilsCrossed
california burger,FoodIconBurger
blood orange salad,FoodIconCitrus
artisan,FoodIconChefHat
cherry coke,FoodIconCupSoda
bread variety,FoodIconBread
cherry,FoodIconCherry
cream of wheat,FoodIconWheat
pasta salad,FoodIconSalad
italian bar,FoodIconPasta
nachos bar,FoodIconTaco
club sandwich,FoodIconSandwich
fruit yogurt,FoodIconMilk
ring pop,FoodIconLollipop
wheat berry,FoodIconWheat
movie theater popcorn,FoodIconPopcorn
rice crispy,FoodIconRiceBowl
fudge pop,FoodIconPopsicle
stuffed turkey,FoodIconDrumstick
moscow mule,FoodIconMartini
smoothie bowl fruit topped,FoodIconIceCreamBowl
mushroom popcorn kernel,FoodIconPopcorn
lime wedge,FoodIconCitrus
lungo,FoodIconCoffee
pearl couscous,FoodIconPasta
lemon slice,FoodIconCitrus
baked goods bar,FoodIconCake
bing cherry,FoodIconCherry
twix ice cream,FoodIconIceCreamSandwich
side salad,FoodIconSalad
fish bar,FoodIconFish
maple walnuts,FoodIconNut
carrot kimchi,FoodIconCarrot
maduros,FoodIconBanana
omelet station,FoodIconEgg
station hot dogs,FoodIconHotDog
mushroom ravioli,FoodIconPasta
daily special,FoodIconChefHat
diet soda,FoodIconCupSoda
shawarma plate,FoodIconWrap
soft pretzels,FoodIconBread
rotisserie chicken station,FoodIconChicken
carrots,FoodIconCarrot
rutabaga fries,FoodIconFries
fresh made sandwich,FoodIconSandwich
tootsie pops,FoodIconCandy
arnold palmer cocktail,FoodIconMartini
fresh popped popcorn,FoodIconPopcorn
rack of pork,FoodIconPork
grab bag almonds,FoodIconNut
smash burger sandwich,FoodIconSandwich
smoked tongue cold cut,FoodIconHam
weiner,FoodIconHotDog
liverwurst,FoodIconHam
carrot cake,FoodIconCake
chef bar,FoodIconChefHat
portobello burger,FoodIconBurger
ribeye steak,FoodIconBeef
old fashioned candy cane,FoodIconCandyCane
eat in restaurant,FoodIconUtensilsCrossed
veggie casserole,FoodIconCookingPot
dogfish head,FoodIconBeer
soft corn tortilla taco,FoodIconTaco
cake slice,FoodIconCakeSlice
ice cream sandwich,FoodIconIceCreamSandwich
honeycrisp apple,FoodIconApple
it's it,FoodIconIceCreamSandwich
seasoned beef burrito,FoodIconBurrito
half and half burrito,FoodIconBurrito
spider roll,FoodIconSushi
cereals,FoodIconWheat
crispy tots,FoodIconFries
grain side dish,FoodIconWheat
ensure protein,FoodIconProtein
liquid eggs,FoodIconEgg
coney dog station,FoodIconHotDog
microwave rice,FoodIconMicrowave
bun bo hue spicy lemongrass,FoodIconRamen
heart lollipop,FoodIconLollipop
steam bag vegetables,FoodIconMicrowave
butterfinger,FoodIconCandy
baked lasagna,FoodIconPasta
impossible burger,FoodIconBurger
warhead pop,FoodIconLollipop
red bull,FoodIconCupSoda
fried egg on toast,FoodIconEggFried
air popped popcorn,FoodIconPopcorn
log food,FoodIconUtensils
standard wine bottle,FoodIconBottleWine
pine nut salad topping,FoodIconNut
entrée,FoodIconUtensils
banana crepe,FoodIconBanana
tillamook yogurt,FoodIconMilk
raw apple,FoodIconApple
housemade bread,FoodIconBread
rose bottle,FoodIconBottleWine
vanilla bean ice cream sandwich,FoodIconIceCreamSandwich
dairy queen blizzard,FoodIconDessert
trailtopia,FoodIconMicrowave
grapes,FoodIconGrape
butter croissant,FoodIconCroissant
flaky biscuit,FoodIconBread
sea snail,FoodIconSnail
brown rice station,FoodIconRiceBowl
rainbow sherbet,FoodIconDessert
chef's table menu,FoodIconChefHat
periwinkle,FoodIconSnail
veggie platter carrot,FoodIconCarrot
vanilla slice cake,FoodIconCakeSlice
deli sandwich fresh,FoodIconSandwich
durum wheat,FoodIconWheat
bluefin tuna steak,FoodIconFish
carving station beef,FoodIconBeef
yogurt covered popcorn,FoodIconPopcorn
chicken leg piece,FoodIconDrumstick
mochi ice cream cone,FoodIconIceCream
chicken and rice station,FoodIconChicken
soft serve,FoodIconDessert
taboon bread,FoodIconBread
whole apple,FoodIconApple
no cow bar chocolate fudge,FoodIconProtein
gardein burger,FoodIconVegan
fruit cup,FoodIconApple
